walk,6403,1046,-32
walk,6370,1046,0
walk,6338,1054,0
walk,6318,1088,0
walk,6304,1095,0
walk,6289,1091,0
cast,Job - Caravan Bugle
begintargettrading
wait,500
walk,6303,1092,0
walk,6322,1088,0
walk,6332,1051,0
walk,6336,1019,1
walk,6342,988,0
walk,6348,968,-1
walk,6381,966,-1
walk,6412,967,0
walk,6418,970,0
walk,6418,951,0
walk,6417,922,0
walk,6350,820,-44
walk,6306,793,-49
walk,6280,793,-22
walk,6198,750,15
walk,6151,723,41
walk,6112,701,74
walk,6072,692,140
walk,6018,681,151
walk,5951,681,146
walk,5903,685,151
walk,5841,687,158
walk,5795,686,167
walk,5774,685,209
walk,5723,683,183
walk,5684,683,254
walk,5621,671,427
walk,5573,650,564
walk,5535,630,658
walk,5510,612,732
walk,5462,588,815
walk,5416,581,930
walk,5397,590,1029
walk,5346,627,1039
walk,5300,640,1024
walk,5246,657,1004
walk,5192,667,911
walk,5146,675,818
walk,5097,659,778
walk,5061,640,737
walk,5026,608,601
walk,4987,576,572
walk,4956,558,592
walk,4917,537,631
walk,4885,512,681
walk,4858,501,755
walk,4830,497,864
walk,4809,501,954
walk,4778,513,951
walk,4750,540,902
walk,4731,565,884
walk,4728,606,858
walk,4733,661,802
walk,4754,712,751
walk,4778,755,676
walk,4808,824,600
walk,4820,854,587
walk,4848,932,462
walk,4844,999,213
walk,4886,1083,136
walk,4940,1112,130
walk,5000,1124,65
walk,5026,1128,62
wait,5000
teleport,Ferry Ticket Seller Doji,Ferry Ticket Seller Tayun
wait,5000
walk,5023,1683,61
walk,4994,1682,74
walk,4943,1671,86
walk,4900,1659,84
walk,4868,1628,82
walk,4840,1599,71
walk,4818,1568,60
walk,4789,1545,64
walk,4743,1507,80
walk,4705,1472,103
walk,4646,1423,84
walk,4577,1391,69
walk,4526,1383,65
walk,4483,1368,54
walk,4445,1344,65
walk,4421,1362,49
walk,4363,1345,54
walk,4305,1332,67
walk,4275,1316,63
walk,4229,1295,62
walk,4203,1287,71
walk,4159,1282,61
walk,4125,1285,51
walk,4098,1307,63
walk,4077,1331,70
walk,4061,1353,75
walk,4040,1377,58
walk,4018,1390,43
walk,3980,1392,4
walk,3943,1369,2
walk,3883,1345,-6
walk,3834,1326,-12
walk,3793,1298,1
walk,3753,1278,10
walk,3706,1254,0
walk,3670,1233,1
walk,3658,1186,14
walk,3652,1141,22
walk,3648,1095,27
walk,3658,1049,45
walk,3674,1023,71
walk,3688,993,71
walk,3670,965,69
walk,3647,956,68
walk,3608,951,68
walk,3570,945,74
walk,3517,930,74
walk,3466,910,62
walk,3429,889,67
walk,3394,860,60
walk,3361,855,64
walk,3334,874,80
walk,3316,892,87
walk,3304,925,67
walk,3295,964,31
walk,3289,996,11
walk,3285,1034,0
walk,3283,1069,0
walk,3278,1103,0
walk,3260,1145,0
walk,3242,1174,0
walk,3219,1183,0
walk,3178,1197,0
walk,3150,1201,0
walk,3106,1207,0
walk,3067,1214,0
walk,3034,1219,2
walk,3000,1218,7
walk,2963,1204,-11
walk,2930,1190,-9
walk,2900,1167,-8
walk,2877,1131,-12
walk,2853,1094,-10
walk,2839,1063,0
walk,2820,1039,1
walk,2769,1039,4
walk,2719,1040,24
walk,2693,1041,78
walk,2644,1038,0
walk,2615,1036,-32
walk,2563,1022,-175
walk,2540,1010,-252
walk,2523,981,-279
