walk,134,2,243
walk,111,0,243
walk,84,6,243
walk,58,26,243
walk,46,44,243
walk,17,47,243
walk,0,48,244
walk,-11,47,244
walk,-34,48,147
walk,-75,47,11
walk,-118,47,12
walk,-162,47,12
walk,-216,47,71
walk,-396,88,0
walk,-601,111,0
walk,-670,105,559
walk,-721,104,575
walk,-790,104,547
walk,-847,136,633
walk,-880,182,791
walk,-906,240,952
walk,-944,274,1088
walk,-992,289,1205
walk,-1022,304,1275
walk,-1076,336,1328
walk,-1117,358,1358
walk,-1151,384,1384
walk,-1187,416,1391
walk,-1238,455,1386
walk,-1290,475,1382
walk,-1325,482,1381
walk,-1357,503,1403
walk,-1379,531,1407
walk,-1400,557,1399
walk,-1423,581,1353
walk,-1437,602,1359
walk,-1455,635,1300
walk,-1472,673,1223
walk,-1486,722,1055
walk,-1499,759,1008
walk,-1505,785,1003
walk,-1510,817,963
walk,-1511,836,955
walk,-1506,873,867
walk,-1491,894,816
walk,-1472,933,672
walk,-1469,956,628
walk,-1476,985,608
walk,-1485,1004,584
walk,-1516,1029,524
walk,-1542,1052,497
walk,-1554,1079,500
walk,-1561,1111,494
walk,-1560,1139,485
walk,-1568,1163,454
walk,-1589,1182,407
walk,-1606,1233,83
walk,-1629,1238,87
walk,-1667,1274,-44
walk,-1691,1301,12
walk,-1733,1302,132
walk,-1755,1326,184
walk,-1771,1351,149
walk,-1822,1358,182
walk,-1860,1374,231
walk,-1884,1381,252
wait,5000
teleport,Tunnel Manager Maryokuk,Tunnel Manager Salhap
wait,5000
walk,-2779,2111,178
walk,-2824,2129,181
walk,-2857,2150,188
walk,-2889,2185,175
walk,-2947,2198,187
walk,-3016,2214,191
walk,-3084,2208,217
walk,-3134,2211,211
walk,-3191,2220,180
walk,-3222,2229,180
walk,-3258,2264,180
walk,-3300,2286,180
walk,-3348,2298,192
walk,-3378,2304,207
walk,-3417,2342,186
walk,-3481,2368,180
walk,-3532,2382,197
walk,-3582,2397,230
walk,-3633,2399,259
walk,-3673,2396,256
walk,-3727,2413,251
walk,-3768,2443,244
walk,-3811,2469,193
walk,-3858,2449,184
walk,-3903,2432,199
walk,-3942,2432,217
walk,-4015,2460,180
walk,-4054,2481,210
walk,-4106,2503,225
walk,-4151,2519,228
walk,-4208,2517,213
walk,-4247,2519,265
walk,-4286,2504,291
walk,-4330,2489,255
walk,-4398,2480,239
walk,-4446,2497,246
walk,-4488,2485,267
walk,-4535,2464,269
walk,-4592,2482,268
walk,-4642,2503,266
walk,-4698,2524,253
walk,-4749,2550,249
walk,-4782,2593,256
walk,-4823,2671,180
walk,-4869,2715,180
walk,-4899,2750,203
walk,-4930,2791,180
walk,-4949,2834,180
walk,-4965,2874,180
walk,-4975,2889,180
walk,-5013,2890,180
walk,-5114,2872,180
walk,-5148,2871,180
walk,-5185,2866,192
walk,-5222,2856,180
quest,Trader Samanda,Collecting Trade Goods - Perma-Ice! (Lvl 30-39),danger
dismount
wait,2000
terminate,transport
